Type,Rent,City,Suburb
Departamento,7000.00, Guadalajara , LAS TORRES 
Casa,15000.00, Tlajomulco , BOSQUE REAL DE SANTA ANITA 
Casa,15000.00, Tlajomulco , BOSQUE REAL DE SANTA ANITA 
Departamento,16500.00, Tlajomulco , LA RIOJA 
Departamento,17500.00, Guadalajara , JARDINES DEL BOSQUE 
Departamento,18500.00, Guadalajara , ARCOS VALLARTA 
Casa,25000.00, Zapopan , VICTORIA 
Departamento,33000.00, Guadalajara , PRADOS PROVIDENCIA 
Departamento,33000.00, Guadalajara , PRADOS PROVIDENCIA 
Departamento,4500.00, Tlaquepaque , VILLAS FONTANA 
Departamento,7000.00, Guadalajara , LAS TORRES 
Casa,8000.00, Tlajomulco , FORESTA SANTA ANITA 
Departamento,8000.00, Guadalajara , PRADOS PROVIDENCIA 
Casa,8500.00, Zapopan , JARDINES DEL VALLE 
Casa,9000.00, Tlajomulco , VILLA CALIFORNIA 
Casa,9000.00, Tlajomulco , VILLA CALIFORNIA 
Departamento,9500.00, Zapopan , JARDINES DE GUADALUPE 
Departamento,9500.00, Zapopan , JARDINES DE GUADALUPE 
Casa,9500.00, Tlaquepaque , PARQUES DEL BOSQUE 
Casa,9500.00, Tlajomulco , VILLA CALIFORNIA 
Casa,9500.00, Tlajomulco , VILLA CALIFORNIA 
Casa,10000.00, Tlaquepaque , PARQUES DEL BOSQUE 
Casa,10000.00, Tlajomulco , SENDEROS DE MONTE VERDE 
Casa,10500.00, Tlajomulco , EL ORIGEN RESIDENCIAL 
Casa,10500.00, Tlajomulco , EL ORIGEN RESIDENCIAL 
Casa,10500.00, Zapopan , REAL DE VALDEPEÑAS 
Casa,10500.00, Zapopan , REAL DE VALDEPEÑAS 
Departamento,10500.00, Zapopan , VALLE REAL 
Casa,10700.00, Tlajomulco , BOSQUES DE SANTA ANITA 
Casa,11500.00, Zapopan , REAL DE VALDEPEÑAS 
Casa,11500.00, Zapopan , REAL DE VALDEPEÑAS 
Departamento,12000.00, Guadalajara , LA AURORA 
Departamento,12000.00, Guadalajara , LA AURORA 
Departamento,13000.00, Guadalajara , JARDINES DEL BOSQUE 
Departamento,13000.00, Guadalajara , PROVIDENCIA 4a SECCION 
Departamento,13000.00, Zapopan , VILLA UNIVERSITARIA 
Departamento,13000.00, Zapopan , VILLA UNIVERSITARIA 
Departamento,13200.00, Tlaquepaque , PAISAJES DEL TESORO 
Casa,14000.00, Tlajomulco , BOSQUES DE SANTA ANITA 
Casa,14000.00, Tlajomulco , BOSQUES DE SANTA ANITA 
Casa,14000.00, Zapopan , LOMA BONITA 
Casa,14000.00, Zapopan , LOMA BONITA 
Departamento,15000.00, Guadalajara , AYUNTAMIENTO 
Casa,15000.00, Tlajomulco , BOSQUES DE SANTA ANITA 
Departamento,15000.00, Zapopan , CIUDAD DEL SOL 
Casa,15000.00, Zapopan , CIUDAD GRANJA 
Casa,15000.00, Zapopan , CIUDAD GRANJA 
Departamento,15000.00, Zapopan , JARDINES DEL SOL 
Departamento,15000.00, Zapopan , JARDINES DEL SOL 
Departamento,15000.00, Zapopan , JARDINES UNIVERSIDAD 
Departamento,15900.00, Guadalajara , AMERICANA 
Departamento,15900.00, Guadalajara , AMERICANA 
Departamento,16000.00, Guadalajara , COUNTRY CLUB 
Departamento,16000.00, Guadalajara , COUNTRY CLUB 
Departamento,16000.00, Tlajomulco , LA RIOJA 
Casa,16000.00, Zapopan , PLAZA GUADALUPE 
Casa,16000.00, Zapopan , VALLE IMPERIAL 
Departamento,16000.00, Guadalajara , ZONA CENTRO 
Departamento,16000.00, Guadalajara , ZONA CENTRO 
Departamento,16500.00, Zapopan , CIUDAD GRANJA 
Departamento,16500.00, Zapopan , CIUDAD GRANJA 
Casa,16500.00, Zapopan , SANTILLANA 
Casa,16900.00, Tlajomulco , BOSQUE CEDROS SANTA ANITA 
Casa,16900.00, Tlajomulco , BOSQUE CEDROS SANTA ANITA 
Casa,17000.00, Zapopan , CIUDAD BUGAMBILIAS 
Casa,17000.00, Zapopan , CIUDAD BUGAMBILIAS 
Departamento,17000.00, Zapopan , CIUDAD GRANJA 
Departamento,17000.00, Zapopan , CIUDAD GRANJA 
Casa,17000.00, Zapopan , JARDIN REAL 
Casa,17000.00, Zapopan , JARDIN REAL 
Casa,17000.00, Tlajomulco , LA RIOJA 
Departamento,17000.00, Tlaquepaque , PAISAJES DEL TESORO 
Casa,17000.00, Zapopan , VILLA UNIVERSITARIA 
Casa,17000.00, Zapopan , VILLA UNIVERSITARIA 
Departamento,17000.00, Guadalajara , ZONA CENTRO 
Departamento,17500.00, Zapopan , CHAPALITA ORIENTE 
Departamento,17500.00, Zapopan , CHAPALITA ORIENTE 
Departamento,17500.00, Guadalajara , JARDINES DEL BOSQUE 
Departamento,17500.00, Guadalajara , JARDINES DEL BOSQUE 
Casa,17500.00, Zapopan , VALLE IMPERIAL 
Departamento,18000.00, Guadalajara , AYUNTAMIENTO 
Departamento,18000.00, Zapopan , JACARANDAS 
Departamento,18000.00, Zapopan , JACARANDAS 
Departamento,18000.00, Zapopan , JUAN MANUEL VALLARTA 
Departamento,18000.00, Zapopan , JUAN MANUEL VALLARTA 
