Suburb,Rent
Albert Park-Middle Park-West St Kilda,585
Armadale,480
Carlton North,575
Carlton-Parkville,425
CBD-St Kilda Rd,510
Collingwood-Abbotsford,500
Docklands,590
East Melbourne,550
East St Kilda,420
Elwood,450
Fitzroy,600
Fitzroy North-Clifton Hill,565
Flemington-Kensington,445
North Melbourne-West Melbourne,450
Port Melbourne,620
Prahran-Windsor,450
Richmond-Burnley,520
South Melbourne,550
South Yarra,495
Southbank,560
St Kilda,430
Toorak,500
Balwyn,530
Blackburn,445
Box Hill,450
Bulleen-Templestowe-Doncaster,490
Burwood-Ashburton,465
Camberwell-Glen Iris,500
Canterbury-Surrey Hills-Mont Albert,510
Chadstone-Oakleigh,460
Clayton,420
Doncaster East-Donvale,495
East Hawthorn,440
Glen Waverley-Mulgrave,500
Hawthorn,405
Kew,520
Mount Waverley,515
Nunawading-Mitcham,420
Vermont-Forest Hill-Burwood East,460
Aspendale-Chelsea-Carrum,440
Bentleigh,510
Brighton,678
Brighton East,690
Carnegie,440
Caulfield,475
Cheltenham,470
Elsternwick,450
Hampton-Beaumaris,595
Malvern,500
Malvern East,460
Mentone-Parkdale-Mordialloc,420
Murrumbeena-Hughesdale,434
Altona,400
Footscray,380
Keilor East-Avondale Heights,425
Melton,340
Newport-Spotswood,500
St Albans-Deer Park,357
Sunshine,360
Sydenham,400
Werribee-Hoppers Crossing,370
West Footscray,400
Williamstown,520
Yarraville-Seddon,493
Broadmeadows-Roxburgh Park,370
Brunswick,470
Coburg-Pascoe Vale South,450
Craigieburn,390
East Brunswick,460
Essendon,410
Gladstone Park-Tullamarine,390
Keilor,423
Moonee Ponds-Ascot Vale,450
Oak Park-Glenroy-Fawkner,400
Pascoe Vale-Coburg North,420
Sunbury,380
West Brunswick,390
Bundoora-Greensborough-Hurstbridge,400
Eltham-Research-Montmorency,450
Fairfield-Alphington,460
Heidelberg-Heidelberg West,420
Ivanhoe-Ivanhoe East,465
Mill Park-Epping,370
Northcote,500
Preston,430
Reservoir,380
Thomastown-Lalor,360
Thornbury,430
Whittlesea,385
Bayswater,390
Boronia,390
Croydon-Lilydale,410
Ferntree Gully,400
Ringwood,400
Rowville,450
Wantirna-Scoresby,440
Yarra Ranges,399
Berwick,395
Cranbourne,385
Dandenong,355
Dandenong North-Endeavour Hills,360
Narre Warren-Hampton Park,380
Noble Park,360
Pakenham,355
Springvale,395
